"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"938",938,6,"gap",23,"b","!","{Yes}",0,4196,"Non-Native",70,0.5,-0.5,4196
"956",956,6,"gap",18,"a","!","{Yes}",0,2441,"Non-Native",70,0.5,0.5,2441
"968",968,6,"gap",22,"a","!","{Yes}",0,1846,"Non-Native",70,0.5,0.5,1846
"972",972,6,"gap",15,"b","!","{Yes}",0,4911,"Non-Native",70,0.5,-0.5,4911
"982",982,6,"gap",24,"a","!","{Yes}",0,2129,"Non-Native",70,0.5,0.5,2129
"989",989,6,"gap",19,"b","!","{Yes}",0,2172,"Non-Native",70,0.5,-0.5,2172
"996",996,6,"gap",20,"a","!","{Yes}",0,1972,"Non-Native",70,0.5,0.5,1972
"1003",1003,6,"gap",17,"b","!","{Yes}",0,2037,"Non-Native",70,0.5,-0.5,2037
"1038",1038,6,"gap",13,"b","!","{Yes}",0,2476,"Non-Native",70,0.5,-0.5,2476
"1095",1095,7,"gap",20,"b","!","{No}",1,3168,"Non-Native",63,0.5,-0.5,3168
"1103",1103,7,"gap",17,"a","!","{Yes}",0,3197,"Non-Native",63,0.5,0.5,3197
"1131",1131,7,"gap",24,"b","!","{No}",1,5964,"Non-Native",63,0.5,-0.5,5964
"1152",1152,7,"gap",22,"b","!","{No}",1,5560,"Non-Native",63,0.5,-0.5,5560
"1156",1156,7,"gap",16,"b","!","{No}",1,2797,"Non-Native",63,0.5,-0.5,2797
"1181",1181,7,"gap",21,"a","!","{Yes}",0,3961,"Non-Native",63,0.5,0.5,3961
"1188",1188,7,"gap",18,"b","!","{No}",1,4267,"Non-Native",63,0.5,-0.5,4267
"1192",1192,7,"gap",15,"a","!","{Yes}",0,5576,"Non-Native",63,0.5,0.5,5576
"1200",1200,7,"gap",19,"a","!","{Yes}",0,3366,"Non-Native",63,0.5,0.5,3366
"1210",1210,7,"gap",23,"a","!","{Yes}",0,4403,"Non-Native",63,0.5,0.5,4403
"1218",1218,7,"gap",14,"b","!","{Yes}",0,2487,"Non-Native",63,0.5,-0.5,2487
