"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"29",29,1,"gap",19,"a","0","-","-",9041,"Non-Native",74,-0.5,0.5,9041
"46",46,1,"gap",14,"b","0","-","-",5526,"Non-Native",74,-0.5,-0.5,5526
"61",61,1,"gap",18,"b","0","-","-",10108,"Non-Native",74,-0.5,-0.5,10108
"65",65,1,"gap",21,"a","0","-","-",4589,"Non-Native",74,-0.5,0.5,4589
"79",79,1,"gap",16,"b","0","-","-",11361,"Non-Native",74,-0.5,-0.5,11361
"85",85,1,"gap",22,"b","0","-","-",14733,"Non-Native",74,-0.5,-0.5,14733
"95",95,1,"gap",15,"a","0","-","-",13338,"Non-Native",74,-0.5,0.5,13338
"113",113,1,"gap",13,"a","0","-","-",17061,"Non-Native",74,-0.5,0.5,17061
"121",121,1,"gap",17,"a","0","-","-",11833,"Non-Native",74,-0.5,0.5,11833
"135",135,1,"gap",23,"a","0","-","-",12171,"Non-Native",74,-0.5,0.5,12171
"154",154,1,"gap",24,"b","0","-","-",10121,"Non-Native",74,-0.5,-0.5,10121
"178",178,1,"gap",20,"b","0","-","-",10289,"Non-Native",74,-0.5,-0.5,10289
"202",202,2,"gap",14,"a","0","-","-",6515,"Non-Native",71,0.5,0.5,6515
"212",212,2,"gap",17,"b","0","-","-",10064,"Non-Native",71,0.5,-0.5,10064
"219",219,2,"gap",23,"b","0","-","-",7993,"Non-Native",71,0.5,-0.5,7993
"255",255,2,"gap",19,"b","0","-","-",7703,"Non-Native",71,0.5,-0.5,7703
"261",261,2,"gap",24,"a","0","-","-",11367,"Non-Native",71,0.5,0.5,11367
"275",275,2,"gap",18,"a","0","-","-",4807,"Non-Native",71,0.5,0.5,4807
"285",285,2,"gap",22,"a","0","-","-",6917,"Non-Native",71,0.5,0.5,6917
"294",294,2,"gap",20,"a","0","-","-",8511,"Non-Native",71,0.5,0.5,8511
"322",322,2,"gap",15,"b","0","-","-",6078,"Non-Native",71,0.5,-0.5,6078
"332",332,2,"gap",13,"b","0","-","-",4342,"Non-Native",71,0.5,-0.5,4342
"336",336,2,"gap",16,"a","0","-","-",6377,"Non-Native",71,0.5,0.5,6377
"357",357,2,"gap",21,"b","0","-","-",3204,"Non-Native",71,0.5,-0.5,3204
"379",379,3,"gap",23,"a","0","-","-",5486,"Non-Native",72,-0.5,0.5,5486
"385",385,3,"gap",19,"a","0","-","-",5880,"Non-Native",72,-0.5,0.5,5880
"392",392,3,"gap",14,"b","0","-","-",5846,"Non-Native",72,-0.5,-0.5,5846
"396",396,3,"gap",17,"a","0","-","-",8316,"Non-Native",72,-0.5,0.5,8316
"403",403,3,"gap",18,"b","0","-","-",8201,"Non-Native",72,-0.5,-0.5,8201
"416",416,3,"gap",21,"a","0","-","-",5149,"Non-Native",72,-0.5,0.5,5149
"432",432,3,"gap",13,"a","0","-","-",6131,"Non-Native",72,-0.5,0.5,6131
"435",435,3,"gap",16,"b","0","-","-",6124,"Non-Native",72,-0.5,-0.5,6124
"442",442,3,"gap",24,"b","0","-","-",6083,"Non-Native",72,-0.5,-0.5,6083
"459",459,3,"gap",15,"a","0","-","-",5716,"Non-Native",72,-0.5,0.5,5716
"487",487,3,"gap",22,"b","0","-","-",3995,"Non-Native",72,-0.5,-0.5,3995
"521",521,3,"gap",20,"b","0","-","-",4184,"Non-Native",72,-0.5,-0.5,4184
"555",555,4,"gap",23,"b","0","-","-",5066,"Non-Native",66,0.5,-0.5,5066
