"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"15",15,1,"gp",17,"a","!","{The_two_men_fought_the_terrorist}",0,4476,0.5,74,"High",0.5,4476
"33",33,1,"gp",2,"b","!","{The_mother_dressed_herself}",1,2977,0.5,74,"High",-0.5,2977
"40",40,1,"gp",9,"a","!","{The_pianist_calmed_himself_down}",1,9309,0.5,74,"High",0.5,9309
"76",76,1,"gp",22,"b","!","{The_two_footballers_fought_each_other}",1,3563,0.5,74,"High",-0.5,3563
"83",83,1,"gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,4756,0.5,74,"High",0.5,4756
"93",93,1,"gp",14,"b","!","{The_doctor_woke_himself_up}",1,3635,0.5,74,"High",-0.5,3635
"105",105,1,"gp",6,"b","!","{The_two_kids_fought_each_other}",1,3339,0.5,74,"High",-0.5,3339
"118",118,1,"gp",5,"a","!","{The_father_washed_the_boy}",0,3079,0.5,74,"High",0.5,3079
"128",128,1,"gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,10147,0.5,74,"High",-0.5,10147
"143",143,1,"gp",21,"a","!","{Anna_dressed_the_child}",0,2045,0.5,74,"High",0.5,2045
"166",166,1,"gp",18,"b","!","{The_father_washed_himself}",1,2796,0.5,74,"High",-0.5,2796
"176",176,1,"gp",13,"a","!","{The_girl_calmed_the_boy_down}",0,4691,0.5,74,"High",0.5,4691
"199",199,2,"gp",24,"a","!","{The_two_actresses_met_each_other}",1,2634,0.5,71,"Low",0.5,2634
"224",224,2,"gp",16,"a","!","{The_researcher_woke_himself_up}",1,5424,0.5,71,"Low",0.5,5424
"252",252,2,"gp",20,"a","!","{The_two_friends_met_each_other}",1,3464,0.5,71,"Low",0.5,3464
"258",258,2,"gp",12,"a","!","{The_nurse_washed_the_baby}",0,2408,0.5,71,"Low",0.5,2408
"269",269,2,"gp",21,"b","!","{Anna_dressed_herself}",1,2951,0.5,71,"Low",-0.5,2951
"273",273,2,"gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3016,0.5,71,"Low",-0.5,3016
"279",279,2,"gp",5,"b","!","{The_father_washed_himself}",1,1798,0.5,71,"Low",-0.5,1798
"289",289,2,"gp",13,"b","!","{The_girl_calmed_herself_down}",1,2213,0.5,71,"Low",-0.5,2213
"292",292,2,"gp",4,"a","!","{The_two_children_hugged_their_friend}",0,4127,0.5,71,"Low",0.5,4127
"302",302,2,"gp",8,"a","!","{Mary_dressed_herself}",1,1266,0.5,71,"Low",0.5,1266
"309",309,2,"gp",17,"b","!","{The_two_men_fought_the_terrorist}",0,6825,0.5,71,"Low",-0.5,6825
"354",354,2,"gp",1,"b","!","{The_lawyer_calmed_himself_down}",1,3201,0.5,71,"Low",-0.5,3201
"389",389,3,"gp",12,"b","!","{The_nurse_washed_the_baby}",0,2226,0.5,72,"High",-0.5,2226
"401",401,3,"gp",20,"b","!","{The_two_friends_met_each_other}",1,4928,0.5,72,"High",-0.5,4928
"415",415,3,"gp",11,"a","!","{The_lady_woke_herself_up}",1,2895,0.5,72,"High",0.5,2895
"425",425,3,"gp",8,"b","!","{Mary_dressed_herself}",1,1839,0.5,72,"High",-0.5,1839
"456",456,3,"gp",24,"b","!","{The_two_actresses_met_each_other}",1,2054,0.5,72,"High",-0.5,2054
"470",470,3,"gp",3,"a","!","{The_two_journalists_met_the_president}",0,2566,0.5,72,"High",0.5,2566
"480",480,3,"gp",4,"b","!","{The_two_children_hugged_their_friend}",0,2427,0.5,72,"High",-0.5,2427
"498",498,3,"gp",23,"a","!","{The_mother_washed_the_child}",0,2275,0.5,72,"High",0.5,2275
"510",510,3,"gp",19,"a","!","{The_coach_calmed_the_basketball_player_down}",0,1740,0.5,72,"High",0.5,1740
"526",526,3,"gp",7,"a","!","{The_man_woke_himself_up}",1,2358,0.5,72,"High",0.5,2358
"533",533,3,"gp",16,"b","!","{The_researcher_woke_himself_up}",1,2435,0.5,72,"High",-0.5,2435
"539",539,3,"gp",15,"a","!","{The_aunt_dressed_herself}",1,1380,0.5,72,"High",0.5,1380
"579",579,4,"gp",15,"b","!","{The_aunt_dressed_herself}",1,2851,0.5,66,"Low",-0.5,2851
"586",586,4,"gp",23,"b","!","{The_mother_washed_the_child}",0,2509,0.5,66,"Low",-0.5,2509
"600",600,4,"gp",14,"a","!","{The_doctor_woke_himself_up}",1,2759,0.5,66,"Low",0.5,2759
"626",626,4,"gp",11,"b","!","{The_lady_woke_herself_up}",1,2577,0.5,66,"Low",-0.5,2577
"629",629,4,"gp",19,"b","!","{The_coach_calmed_himself_down}",1,3826,0.5,66,"Low",-0.5,3826
"637",637,4,"gp",2,"a","!","{The_mother_dressed_herself}",1,2182,0.5,66,"Low",0.5,2182
"645",645,4,"gp",22,"a","!","{The_two_footballers_fought_each_other}",1,3045,0.5,66,"Low",0.5,3045
"652",652,4,"gp",7,"b","!","{The_man_woke_himself_up}",1,2141,0.5,66,"Low",-0.5,2141
"688",688,4,"gp",10,"a","!","{The_two_soldiers_fought_each_other}",1,2441,0.5,66,"Low",0.5,2441
"704",704,4,"gp",6,"a","!","{The_two_kids_fought_each_other}",1,2314,0.5,66,"Low",0.5,2314
"708",708,4,"gp",3,"b","!","{The_two_journalists_met_each_other}",1,2089,0.5,66,"Low",-0.5,2089
"711",711,4,"gp",18,"a","!","{The_father_washed_the_baby}",0,2391,0.5,66,"Low",0.5,2391
"749",749,5,"gp",6,"b","!","{The_two_kids_fought_each_other}",1,3468,0.5,71,"Low",-0.5,3468
"760",760,5,"gp",9,"a","!","{The_pianist_calmed_himself_down}",1,3490,0.5,71,"Low",0.5,3490
"767",767,5,"gp",17,"a","!","{The_two_men_fought_the_terrorist}",0,3438,0.5,71,"Low",0.5,3438
"778",778,5,"gp",22,"b","!","{The_two_footballers_fought_each_other}",1,3190,0.5,71,"Low",-0.5,3190
"808",808,5,"gp",14,"b","!","{The_doctor_woke_himself_up}",1,3276,0.5,71,"Low",-0.5,3276
"837",837,5,"gp",2,"b","!","{The_mother_dressed_herself}",1,6579,0.5,71,"Low",-0.5,6579
"844",844,5,"gp",21,"a","!","{Anna_dressed_the_child}",0,2758,0.5,71,"Low",0.5,2758
"851",851,5,"gp",1,"a","!","{The_lawyer_calmed_the_man_down}",0,3284,0.5,71,"Low",0.5,3284
"877",877,5,"gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,6948,0.5,71,"Low",-0.5,6948
"888",888,5,"gp",13,"a","!","{The_girl_calmed_the_boy_down}",0,2158,0.5,71,"Low",0.5,2158
"892",892,5,"gp",5,"a","!","{The_father_washed_the_boy}",0,1898,0.5,71,"Low",0.5,1898
"895",895,5,"gp",18,"b","!","{The_father_washed_the_baby}",0,1804,0.5,71,"Low",-0.5,1804
"919",919,6,"gp",4,"a","!","{The_two_children_hugged_their_friend}",0,4441,0.5,70,"Low",0.5,4441
"931",931,6,"gp",17,"b","!","{The_two_men_fought_the_terrorist}",0,5532,0.5,70,"Low",-0.5,5532
"942",942,6,"gp",24,"a","!","{The_two_actresses_met_the_director}",0,3679,0.5,70,"Low",0.5,3679
